Concepticon_ID,Rank,Concepticon_Gloss
78,1,THAT
1225,2,DAY (NOT NIGHT)
1577,3,AND
1240,4,NOT
948,5,WATER
1447,6,GIVE
1215,7,THOU
1256,8,HEAD
1515,9,TEN
1493,10,ONE
1446,11,COME
1211,12,HE
1703,13,SIX
1274,14,SALT
1634,15,HUNDRED
1498,16,TWO
1749,17,TAKE
1401,18,DRINK
1248,19,EYE
492,20,THREE
1235,21,WHO
946,22,BLOOD
695,23,GO
1216,24,MOTHER
1409,25,SEE
1212,26,WE
617,27,ICE
1247,28,EAR
1231,29,NEW
1209,30,I
1405,31,NAME
1428,32,BURNING
221,33,FIRE
1236,34,WHAT
1380,35,TOOTH
1297,36,LEG
1896,37,FINGERNAIL OR TOENAIL
1471,38,WINTER
1233,39,NIGHT
1221,40,NOSE
857,41,STONE
813,42,DO
960,43,WIND
1620,44,SON
1370,45,MONTH
964,46,WOOL
817,47,THEY
1474,48,SEA
724,49,READ
1441,50,FLY (MOVE THROUGH AIR)
1392,51,LOUSE
227,52,FISH
1494,53,DIE
1673,54,ARM
639,55,MOUNTAIN
1567,56,DOOR
624,57,LAKE
1408,58,HEAR
784,59,SNOW
1277,60,HAND
906,61,TREE
1214,62,THIS
1336,63,EAT
1226,64,YEAR
657,65,PRICE
1394,66,BONE
1398,67,DRY
1335,68,WHITE
1228,69,EARTH (SOIL)
539,70,NEST
742,71,END (OF SPACE)
910,72,DEATH
778,73,SMOKE (EXHAUST)
493,74,FIVE
1592,75,CHEST
635,76,MILK
2071,77,LAY (VERB)
1448,78,HOLD
1393,79,HORN (ANATOMY)
606,80,GRASS
1213,81,YOU
479,82,GROW
700,83,CARRY
1422,84,BE ALIVE
1203,85,LONG
1217,86,FATHER
1223,87,HEART
1410,88,KNOW (SOMETHING)
1803,89,WOOD
1343,90,SUN
2334,91,MELT
1484,92,OIL (ORGANIC SUBSTANCE)
1363,93,VOICE
319,94,LICK
2009,96,DOG
763,97,SKIN
994,98,BOW
2003,99,FLOW
342,100,HAY
723,101,PLACE (POSITION)
1205,102,TONGUE
1342,103,SUMMER
1301,104,FOOT
2963,105,NET
1500,106,FOUR
1811,107,SOUND OR NOISE
1007,108,COW
942,109,HONEY
1704,110,SEVEN
1040,111,HAIR
1571,112,SELL
1011,113,BRIDGE
2374,114,DREAM
2972,115,SLEEP (STATE)
2457,117,PATH OR ROAD
674,118,MOUTH
1457,119,SEW
1035,120,GOOD
977,121,ARROW
671,123,SAND
666,124,RIVER
658,125,RAIN (PRECIPITATION)
1990,126,BECOME
629,127,LEATHER
1307,128,LANGUAGE
1313,129,MOON
1156,130,OPEN
1257,131,WING
692,132,BRING
1455,133,PULL
1382,134,NEEDLE (FOR SEWING)
93,135,DRAW MILK
1672,136,WRITE
1917,137,TIE
1458,138,SAY
615,139,HORSE
621,140,IRON
682,141,SIDE
634,142,MEAT
1869,143,BUY
694,144,GET
2492,145,BOIL (SOMETHING)
702,146,CATCH
318,147,FOOTPRINT
2239,148,DENSE
1416,149,SIT
2995,150,TONE (MUSIC)
1432,151,CUT
734,152,MAKE
1237,153,WHERE
1119,154,DIVIDE
1768,155,FOAM
1429,156,FULL
1418,157,DIG
628,158,LEAF
1531,159,BRANCH
1280,160,FALL
738,161,THING
1252,162,HOUSE
1585,163,SLEEP
3137,164,OAR
1245,165,BUTTER
1599,167,WORD
2887,168,THAW (DEW)
1732,169,SKY
1303,170,FINGER
3309,171,STRIKE (SOMETHING)
1783,172,PAIN
670,173,ROOT
1506,174,MEASURE
779,175,PART
646,176,ASH
1206,177,BARKING
1161,179,THREAD
1355,180,LAUGH
1014,181,OR
1839,182,CRY
72,183,CLAW
1417,184,KILL
569,185,SPOIL (BECOME SPOILED)
1453,186,WASH
1357,187,DAUGHTER
816,189,HALF
1371,190,KNEE
741,191,DRIVE
887,192,BITTER
163,193,BLACK
210,194,LIFE
605,195,GRAIN
2406,196,HOME
1590,197,WAIT (FOR)
718,198,PAY
1786,199,DRY UP
1251,200,BELLY
136,202,HERE
892,203,TIME
1959,204,RAW
1352,205,KNIFE
744,206,EGG
792,207,BOIL (OF LIQUID)
1442,208,STAND
1937,209,THERE
972,210,BE ABLE
1287,211,COLD
1093,212,MIDDLE
761,213,COVER
2989,214,FRINGE
1649,215,SIT DOWN
2868,216,DRIVE (CATTLE)
1201,217,FEATHER
1487,218,POUR
1300,219,COUNTRY
1403,220,BITE
1187,221,GOOSE
2159,222,GROUND
1229,223,OLD
1204,224,BARK
1262,225,BROTHER
1096,226,SONG
1924,227,VEIN
1243,228,WIDE
1261,229,SING
2992,230,TIP (OF OBJECT)
630,231,LIGHT (RADIATION)
1368,232,BREAD
904,233,BERRY
1258,234,FINGERNAIL
2925,235,HITHER (HERE TO)
1422,236,BE ALIVE
1202,237,BIG
1090,238,BE BORN
183,239,BAKE
3078,240,IRRIGATE
3231,241,DEITY
1369,242,GOLD
1263,243,SISTER
1420,244,COUNT
844,245,KIND (THING)
1784,246,WANT
2070,247,COMB (VERB)
53,248,SPIRIT
1224,249,LIVER
714,250,SEED
1046,251,SHUT
1815,252,ACHE
2907,253,ROT
1172,254,SHOOT
323,255,FAT (ORGANIC SUBSTANCE)
1844,256,BOAT
1855,257,BIRCH
680,258,BREAK (DESTROY OR GET DESTROYED)
1399,260,CLAY
568,261,RISE (MOVE UPWARDS)
1333,262,NECK
1890,263,BELIEVE
1227,264,BOARD
984,265,WORK (LABOUR)
2576,266,ALREADY
2190,267,TASTE
1109,268,WOUND
1884,269,HARD
2885,270,HERD (SOMETHING)
1489,271,CLOUD
1331,272,SHEEP
1387,273,ARRIVE
43,274,LEAD (GUIDE)
1449,275,RUB
1491,276,MOUSE
176,277,BLOW (WITH MOUTH)
1789,279,AGE
362,280,STRING
1504,281,FLY (INSECT)
1008,282,BULL
678,283,BEARD
719,284,FIND
935,285,WAR
1337,286,PIG
937,287,BIRD
2006,288,FILL
522,289,WOLF
978,290,WAVE
3464,291,SHORE OF LAKE
420,292,FOREST
1820,293,BEAR
1295,295,STICK
1084,296,CALL
1439,297,SWIM
2539,298,PIT (POTHOLE)
2990,299,SACK
1623,300,SPEAK
1519,301,RUN
818,302,WILLOW
1443,303,WALK
2336,304,OF THIS KIND (SUCH)
987,305,REMAIN
1667,306,HOLE
192,307,CORNER
2905,308,KNIT
1286,309,HOT
1485,310,BELOW OR UNDER
1864,311,HUNGER
2949,312,LAIR
667,313,ROAD
1291,314,BACK
2953,315,SLEEVE
743,317,END (OF TIME)
175,318,BLOW (OF WIND)
1483,319,NINE
1402,320,BREAST
1244,321,THICK
1705,322,EIGHT
956,323,FLEE
3704,324,ODOR (SMELL)
2249,325,THIN (OF SHAPE OF OBJECT)
1413,326,PLAY
1915,327,FIR
571,328,STING
3651,330,MUSH (FOOD)
2965,331,PAW
1190,332,HARE
1951,333,PASS
1480,334,BODY
1740,335,PINE
1838,336,NAVEL
580,337,FUR
2030,338,DRAG
785,339,STRONG
1048,340,LINE
1608,341,LISTEN
281,342,POST
1304,343,CHILD (YOUNG HUMAN)
1468,344,LOOK FOR
2467,345,GAME
709,346,TEACH
156,347,RED
197,348,OTHER
1419,349,FEAR (BE AFRAID)
1207,350,YOUNG
504,351,LEARN
1901,352,SHOVEL
1828,353,ASK (REQUEST)
2973,354,STRAP
2658,355,COAL
1373,356,TEA
1019,357,RIGHT
1367,359,CROSS
879,360,COUGH
1208,361,CAT
1653,362,BLIND
863,363,EDGE
1554,364,MAN
3072,366,MISPLACE
251,367,SHARPEN (SOMETHING)
713,368,STEAL
854,370,KETTLE
1752,371,LEAVE
363,372,"DWELL (LIVE, RESIDE)"
760,373,KNOT
3308,374,STRIKE (SOMEONE)
1913,376,PRESS
1906,377,SOUR
1039,378,SHOW
1411,379,LIE (REST)
478,380,LIP
772,382,BELT
2112,384,OLD (AGED)
1220,385,TAIL
991,386,FRY
141,387,BURN (SOMETHING)
1750,388,CHOOSE
1312,389,FOX
1176,390,SPADE
2373,391,SKIN (OF FRUIT)
2837,392,SWAN
1071,393,HOOK
2932,394,COLD (CHILL)
