concepticon	concepticon_ID	concepticon_proposed	NEL_concept	NEL_ID	lgc	lgcSD	inf	ranking_value	position_in_ranking	WOLD	ABVD	ASJP40	ASJP100	Holman ranking value	Holman	Rama & Borin score	Rama & Borin rank	Swadesh100	Swadesh200	IELex	Dyen 1975 P	Dyen 1975 rank	Pagel mean rate	Petroni & Serva	Peust ranking	Tadmor score	Tadmor rank	Tadmor representation score	WOLD borrowed score	WOLD age score	WOLD simplicity score	representation	Tadmor score (replica)
THAT	78	THAT	das::PRN	638	0.412522446691574	0.077372082194268	8.36729498788254	0.465459296765837	1	24-08	178		5	14.7	88	281.823	34	85	161	167			1.88		10				0.0281954887	0.7960526316	0.8735902256	58	0.6758159841
DAY (NOT NIGHT)	1225	DAY_(NOT_NIGHT)	Tag::N	450	0.494018982070388	0.082147787002275	9.12416093632435	0.467799009769086	2	14-41	168								27	27	13.58	56	1.04	0.26695	7				0.1393118149	0.887637028	0.9086479903	44	0.6941877128
AND	1577	AND	und::CNJ	675	0.267351294648484	0.093666397560385	7.41334587119925	0.500718421936289	3	17-51	192								2	2	9.89	71	3.39						0.1909594096	0.8642066421	0.9889298893	50	0.6914382713
NOT	1240	NOT	nicht::ADV	620	0.383642762709778	0.089215285647627	8.53023862569	0.507745376130199	4	24-06	195		8	18.3	72	297.628	42	62	107	112	3.5	139	0.82	0.35033	9	0.726	56	0.878	0.035483871	0.9329032258	0.9741935484	47	0.8765795576
WATER	948	WATER	Wasser::N	63	0.43032243683375	0.081557538875033	8.950806437425	0.507790450592125	5	1-31	122	32	75	37.4	3	219.858	15	94	181	187	12.28	59	0.86	0.18378	5	0.831	4	1	0.0911062907	0.9006507592	0.9869848156	45	0.807941634
GIVE	1447	GIVE	geben::V	898	0.353569502993373	0.092585327123333	8.40105891178036	0.521893338484	6	11-21			70	23.3	47	178.558	9	33	60	63	2.99	153	0.76	0.22864	5	0.727	53	1	0.0867768595	0.8851239669	0.9070247934	46	0.7331623706
THOU	1215	THOU	du::PRN	641	0.303296914652927	0.085015344799425	7.99953403351842	0.526986180164207	7	2-92	183	40	2	30.6	17	230.4	20	87	168	174	35.4	17	0.64		3	0.798	9	1	0.0416666667	0.8416666667	0.9333333333	60	0.7528240741
HEAD	1256	HEAD	Kopf::N	19	0.481098372042006	0.08980825748693	9.60494993314348	0.527506458476543	8	4-2	24		38	21.7	53	375.332	61	38	68	71	14.73	48	2.32		7				0.2035315985	0.8539033457	0.9665427509	50	0.6573525224
TEN	1515	TEN	zehn::NUM	662	0.480940274781011	0.074517612565101	9.74305755150364	0.541459507847454	9	13-1	206														4				0.275862069	0.8689655172	0.9482758621	44	0.5967034319
ONE	1493	ONE	eins::NUM	653	0.390707315657282	0.087750998495577	9.11297419639569	0.559660835548015	10	13-01	197	23	11	27.4	30	225.599	18	63	109	114	43.8	12	0.43	0.23093	4	0.753	32	1	0.1302083333	0.8760416667	0.96875	49	0.7381620619
COME	1446	COME	kommen::V	779	0.373022654968386	0.110432810196867	9.10274310769402	0.574553921297855	11	10-48	7	13	66	26.8	33	217.405	14	16	24	24	15.2	45	1.9		8	0.796	11	1	0.0323275862	0.8806034483	0.9396551724	45	0.8007136846
HE OR SHE OR IT	262	HE_OR_SHE_OR_IT	er::PRN	642	0.327068552956036	0.086616728226504	8.72996849422131	0.578635151761699	12	2-93	184									70						0.749	34	0.878	0	0.8059267868	0.9551133062	49	0.7697513979
SIX	1703	SIX	sechs::NUM	658	0.528253002521629	0.072689418823347	10.6296153750688	0.587533835237408	13	13-06	202														3				0.2558139535	0.8558139535	0.976744186	43	0.6220735281
SALT	1274	SALT	Salz::N	358	0.504592944425609	0.067628325178094	10.463506286272	0.592216978644148	14	5-81	125								125	131	4.83	111	1.01	0.26792	8	0.694	91	1	0.1517857143	0.8392857143	0.9761904762	44	0.6949442724
HUNDRED	1634	HUNDRED	hundert::NUM	673	0.463869112276055	0.064824428665091	10.1009486648991	0.592612665441458	15	13-105	209														5				0.4204545455	0.8363636364	0.9147727273	44	0.443400169
TWO	1498	TWO	zwei::NUM	654	0.41023678124631	0.087398961310533	9.64731396284435	0.595518293162755	16	13-02	198	28	12	39.8	2	204.345	11	91	176	182	78.9	2	0.09	0.28214	2				0.2309885932	0.8825095057	0.9771863118	46	0.6631771417
TAKE	1749	TAKE	nehmen::V	887	0.384952947719605	0.120829067963081	9.4377922545479	0.597321572507145	17	11-13										220						0.716	71	1	0.1004397734	0.8766025641	0.8865161002	50	0.6990683002
DRINK	1401	DRINK	trinken::V	736	0.41352853136252	0.096747262960957	9.70023295037928	0.59784761681166	18	5-13	40	25	54	25	38	169.873	6	19	32	32	30.6	24	1.49	0.16828	8	0.741	42	1	0.0956175299	0.864940239	0.9342629482	47	0.7308148495
EYE	1248	EYE	Auge::N	1	0.401255924849227	0.100744070719519	9.6107121547787	0.599940883113566	19	4-21	45	33	40	35.4	8	157.787	4	25	40	40	77.2	3	0.93		6	0.703	83	1	0.0960187354	0.8735362998	0.9180327869	44	0.7249341827
THREE	492	THREE	drei::NUM	655	0.433607710400681	0.081001262443003	9.95256153726549	0.605009214365936	20	13-03	199								169	175	49.1	11	0.09	0.44102	3				0.2191011236	0.8921348315	0.9775280899	45	0.6810116473
WHO	1235	WHO	wer::FPRN	647	0.297675103684497	0.090532069795863	8.753792644875	0.607471671171452	21	17-68	189		6	19	68	236.126	21	98	188	194	13.9	52	0.09	0.16351	5	0.749	34	1	0.0323741007	0.8478417266	0.9235611511	49	0.7576836697
BLOOD	946	BLOOD	Blut::N	41	0.383002269519126	0.097581187972207	9.58244627286667	0.613542584719453	22	4-15	23	1	30	29	26	268.841	29	9	16	15	27.8	27	2.19		6	0.805	7	1	0.0957446809	0.8957446809	1	47	0.8099818923
GO	695	GO	gehen::V	773	0.337235250972023	0.105288652799949	9.17385709876984	0.613873984002164	23	10-47										217					11	0.832	3	1	0.0370786517	0.9159550562	0.9741573034	48	0.8591996085
MOTHER	1216	MOTHER	Mutter::N	203	0.381913979084459	0.073647717713257	9.67930242161653	0.62420766098564	24	2-36	59								97	102	58.7	9	2.36	0.36627	8				0.1946624804	0.8737833595	0.9481946625	57	0.6672355984
SEE	1409	SEE	sehen::V	800	0.43615485933096	0.09492477976256	10.1949042373027	0.626951050332404	25	15-51	46	35	57	24.7	39	293.99	39	72	130	136	3.91	131	2.63	0.16764	9	0.695	89	1	0.0823293173	0.8489959839	0.8995983936	49	0.7008759607
WE	1212	WE	wir::PRN	643	0.339820548089271	0.083849632679113	9.34537474293739	0.628698981013395	26	2-94	185	36	3	25.4	37	270.771	30	95	182	188	74.7	4	0.37	0.16858	5				0.0088235294	0.9	0.8808823529	39	0.7857988754
ICE	617	ICE	Eis::N	78	0.424416285814723	0.098308488999375	10.130879197417	0.631113262508445	27	1-77									79	82			2.58		7				0.2307692308	0.8299595142	0.9048582996	45	0.5776890421
EAR	1247	EAR	Ohr::N	2	0.441485029827663	0.087609895670326	10.294518635629	0.632115336718	28	4-22	43	29	39	37.3	4	259.692	24	21	36	36	34.3	21	0.88		7	0.764	22	1	0.1039325843	0.8584269663	0.9606741573	47	0.7389586634
NEW	1231	NEW	neu::A	564	0.454903025468175	0.071757416654872	10.4488074199791	0.635468019076556	29	14-13	163	11	96	24.3	41	346.665	53	59	104	109	36.5	16	0.6	0.31961	5	0.727	53	1	0.0804597701	0.8505747126	0.9195402299	44	0.7192070499
I	1209	I	ich::PRN	640	0.213924861244921	0.100224407646695	8.37554634887699	0.64502225976727	30	2-91	182	22	1	35.9	6	101.953	1	42	78	0	14.24	51	0.09		3	0.776	14	0.976	0.0296610169	0.8762711864	0.936440678	59	0.7962368657
NAME	1405	NAME	Name::N	230	0.387752480988613	0.064978085123887	9.98167645379099	0.649190412489348	31	18-28	63	7	100	32.4	13	222.516	16	57	100	105	34.4	20	0.47	0.27962	5	0.774	15	1	0.0852272727	0.8818181818	0.9545454545	44	0.769996713
BURNING	1428	BURNING	brennen::V	697	0.438483499635094	0.116357829024527	10.4431569606139	0.649680546389806	32	1-852	144		84	15.5	85	384.256	63	12	20	20	3.98	128	2.94	0.15918	11	0.727	53	1	0.049382716	0.850617284	0.8888888889	44	0.7187657708
FIRE	221	FIRE	Feuer::N	70	0.346811933146841	0.10165409517097	9.64135388496429	0.652004648664271	33	1-81	143	37	82	25.7	36	265.697	27	28	49	50	15.05	46	1.75		7	0.901	1	1	0.0354578883	0.9409035195	0.9947469795	42	0.9027737358
WHAT	1236	WHAT	was::FPRN	646	0.263239296210473	0.095285666040456	8.91162088338151	0.654246721748725	34	17-64	188		7	20.7	60	295.904	41	96	184	190	18.3	41	0.69		7	0.732	50	1	0.0292397661	0.8233918129	0.9385964912	45	0.7502352201
TOOTH	1380	TOOTH	Zahn::N	5	0.382004706140331	0.094491133834687	9.99391410435182	0.655587174908884	35	4-27	31	20	43	30.7	15	385.485	64	89	173	179	21	36	1.18	0.27677	7	0.755	28	1	0.1175373134	0.922761194	0.9748134328	49	0.7937928422
LEG	1297	LEG	Bein::N	38	0.37383522292299	0.121975692479651	9.93275899110357	0.656824198479666	36	4-35	4								88	92	6.32	97	3.73						0.1461864407	0.9085956416	0.9818401937	41	0.7616834226
FINGERNAIL OR TOENAIL	1896	FINGERNAIL_OR_TOENAIL	Nagel[Anatomie]::N	32	0.483957927993322	0.088508475682937	10.9471393412282	0.659151798928828	37																								
WINTER	1471	WINTER	Winter::N	461	0.561919869162739	0.084996785793331	11.6716358157937	0.661435699332904	38	14-74															5				0.0897435897	0.8269230769	0.8269230769	40	0.6224349492
NIGHT	1233	NIGHT	Nacht::N	454	0.39144527773081	0.078324785911937	10.1478940413133	0.662488654173598	39	14-42	167	15	92	29.6	22	464.536	82	60	105	110	4.44	116	0.76	0.29403	6	0.766	20	1	0.0689655172	0.8977011494	0.933908046	46	0.7805516831
NOSE	1221	NOSE	Nase::N	3	0.431394127511238	0.081879006381895	10.5302352641752	0.664768811657409	40	4-23	27	19	41	27.3	31	275.397	32	61	106	111	39.9	14	1.49	0.3169	7	0.864	2	1	0.0267857143	0.8928571429	0.9799107143	42	0.851484916
STONE		ROCK	Stein::N	64	0.456490717543677	0.104649555734847	10.7689313818018	0.666051492390867	41	1-44	120	8	77	32.1	14	268.448	28	81	154	160	41.6	13	2.73	0.19369	5	0.756	27	1	0.105	0.894	0.9575	54	0.766124475
DO	813	DO	tun::V	812	0.252735303825802	0.096197762493516	8.93882661182155	0.666420887738933	42	9-11										223					7	0.759	25	1	0.027832351	0.897184021	0.9394237066	42	0.8193778328
WIND	960	WIND	Wind::N	61	0.444948053204816	0.109164584786426	10.6739126639723	0.666938018512897	43	1-72	136								191	197	10.9	66	1.78	0.19535	9	0.736	48	1	0.1717391304	0.9095652174	0.9869565217	45	0.7435308786
SON	1620	SON	Sohn::N	204	0.410324361639609	0.1001425709548	10.3782218535658	0.668530259880933	44	2-41															7				0.1118881119	0.8783216783	0.8671328671	48	0.6764051929
MONTH	1370	MONTH	Monat::N	456	0.402965338535089	0.099210056385095	10.3443568023118	0.671766875549602	45	14-71																			0.1921965318	0.8803468208	0.9739884393	42	0.6926491661
WOOL	964	WOOL	Wolle::N	364	0.421211814932657	0.088152322100462	10.514114426687	0.672320809229312	46	6-22																			0.3242574257	0.878960396	0.8069306931	38	0.4792772604
THEY	817	THEY	sie::PRN	645	0.394762867832908	0.087605071827848	10.3594539427653	0.680658813226912	47	2-96	187								163	169	17.2	42	2.75						0.0741525424	0.8019067797	0.7987288136	49	0.5930108986
SEA	1474	SEA	Meer::N	106	0.467526388065033	0.079618084013901	11.0339313006078	0.682619380802253	48	1-32	124								129	135	7.92	83	2.53	0.25906	13				0.4618320611	0.8615776081	0.9160305344	43	0.4247390341
READ	724	READ	lesen::V	1006	0.437929193336316	0.11390162722427	10.7697443126054	0.682838157257851	49	18-52																			0.4335443038	0.8253164557	0.8702531646	47	0.4068478863
FLY (MOVE THROUGH AIR)	1441	FLY_(MOVE_THROUGH_AIR)	fliegen::V	772	0.512716156302945	0.09752228620367	11.5193284370144	0.69048830302879	50	10-37	101		64	24.1	44	440.443	78	30	55	56	2.88	154	2.83		12				0.1311407161	0.8476269775	0.912572856	44	0.6720812251
HEAD LOUSE		LOUSE	Laus::N	167	0.393540097543366	0.115344574033363	10.4702184217718	0.692835754388154	51	3-811	108	38	22	42.8	1	111.647	2	50	93	97	71.2	5	1.74	0.16624	8	0.774	15	1	0.0502392344	0.8736842105	0.9425837321	47	0.7821474831
FISH	227	FISH	Fisch::N	160	0.383164505466753	0.120748657349985	10.3849576353936	0.693647708619286	52	3-65	111	2	19	33.4	12	227.537	19	29	50	51	22.5	35	1.45	0.16693	7	0.745	38	1	0.1451612903	0.8537634409	0.9838709677	48	0.7180585859
DIE	1494	DIE	sterben::V	750	0.470981508987589	0.085396577244554	11.1778013746863	0.693896779379799	53	4-75	75	17	61	36.3	5	175.367	7	17	28	28	60.5	7	0.82	0.25602	4				0.2045454545	0.8263636364	0.8954545455	61	0.5886133546
ARM	1673	ARM	Arm::N	26	0.384375097301592	0.113970192205054	10.3983774510076	0.693900157529323	54	4-31																			0.0932835821	0.8646766169	0.9402985075	45	0.7372095304
MOUNTAIN	639	MOUNTAIN	Berg::N	96	0.409052837537445	0.095618179307805	10.6530722166423	0.697159667880527	55	1-22		3	86	26.2	35	250.578	23	55	98	103	3.32	143	2.75	0.17545	11				0.1739130435	0.8927536232	0.9710144928	73	0.7161155402
DOOR	1567	DOOR	Tür::N	318	0.40003818289024	0.093108325762907	10.5744452010145	0.697410155500237	56	7-22																			0.226744186	0.8686046512	0.8975290698	59	0.6028286277
LAKE	624	LAKE	See::N	89	0.445286589052506	0.097517165185308	10.9879109103856	0.698033160891303	57	1-33	126								84	88	4.2	123	3.5						0.2147239264	0.8445807771	0.9233128834	47	0.612367951
HEAR	1408	HEAR	hören::V	803	0.394119905643344	0.108130273259288	10.5275596988477	0.69804805480576	58	15-41	44	14	58	33.8	10	421.242	76	39	69	72	37.1	15	2.35		7	0.723	61	1	0.046993431	0.8150581102	0.8946437595	46	0.6949196692
SNOW	784	SNOW	Schnee::N	77	0.394855803274255	0.112201461891496	10.5661271245559	0.701242489508756	59	1-76									145	151			1.62	0.17697	11				0.237244898	0.8897959184	0.9336734694	36	0.6336808005
HAND	1277	HAND	Hand::N	28	0.341206926867759	0.1073151830654	10.087038148732	0.701617580692213	60	4-33	1	10	48	34.9	9	236.955	22	37	66	69	19.6	39	0.82	0.22261	4	0.768	19	1	0.1507352941	0.8740196078	0.9926470588	45	0.7368161081
