Concepticon_Gloss,Average_Rank
FATHER,1.4
MOTHER,1.6
I,3.4
AND,3.6
HORSE,6.2
FIVE,6.2
THOU,7.0
THREE,7.2
EYE,12.0
DRINK,12.6
NOT,12.8
ARM,12.8
THIS,13.6
MEAT,14.0
DIE,14.2
SEVEN,14.8
BRANCH,15.4
WING,18.4
HERE,19.8
TONGUE,20.2
TEN,21.6
IRON,23.8
YEAR,25.6
HUNDRED,26.0
SEA,27.2
TWO,27.6
PATH OR ROAD,27.6
LOUSE,28.2
FOUR,31.2
SALT,32.2
SON,33.8
COME,33.8
SIX,34.8
YOU,35.0
HAND,35.2
WE,35.4
NAME,36.0
DIG,36.6
LEG,40.6
EAT,40.8
TREE,41.2
DOG,42.6
WHERE,42.6
EAR,43.2
LEAF,44.8
THEY,48.0
SEW,48.4
SKIN,49.0
CRY,49.6
WATER,50.6
FIRE,52.4
HOUSE,52.8
THERE,53.2
WHO,53.6
BUY,54.6
GO,56.6
WASH,57.4
BONE,58.4
SKY,59.6
STONE,59.6
RAIN (PRECIPITATION),60.0
BE ALIVE,62.8
TOOTH,63.8
KNEE,64.8
HORN (ANATOMY),67.2
LAKE,68.0
THAT,68.2
LAUGH,71.2
SUN,71.4
BOW,72.6
WHAT,74.0
OPEN,74.2
FLOW,74.8
HEAD,75.4
NEW,75.6
FISH,75.6
MOUNTAIN,76.6
ONE,77.0
DAY (NOT NIGHT),77.2
NOSE,77.6
FLY (MOVE THROUGH AIR),83.2
KNOW (SOMETHING),84.2
FULL,84.2
PULL,85.6
HEAR,85.6
MOUTH,85.8
FEATHER,86.0
HOLD,86.6
SEE,88.4
TAKE,89.8
GIVE,89.8
CHEST,90.0
KNIFE,91.0
ASH,91.2
BLOOD,93.6
FALL,93.8
CLAW,94.8
WHITE,95.2
FOOT,95.4
SMOKE (EXHAUST),97.8
SAND,99.0
DRY,100.2
BELLY,100.4
HAIR,100.4
WIND,101.0
NIGHT,101.8
GRASS,102.4
EARTH (SOIL),105.6
ARROW,107.6
STAND,108.4
TIE,108.6
HEART,111.0
RIVER,111.2
EGG,112.0
MOON,114.6
KILL,117.2
ROOT,117.2
FINGER,118.4
BLACK,118.4
SAY,119.6
SIT,120.4
LONG,120.4
SLEEP,122.4
GOOD,123.8
COLD,124.6
