,Concept,Holman ranking value,Pagel mean rate,Peust ranking,Rama & Borin score,Tadmor score (replica),WOLD age score,WOLD borrowed score,WOLD simplicity score,inf,Petroni & Serva,Tadmor score,mean_disagreement
0,FATHER,,56,34,,105,77,110,34,27,26,,49.6
1,MOTHER,,59,48,,84,49,99,47,20,1,,42.4
2,I,2,-2,1,-2,6,41,8,54,1,,10,2.29
3,AND,,79,,,65,60,95,0,-3,,,47.0
4,HORSE,,,,,117,63,117,0,64,,,90.5
5,FIVE,,-4,-4,,96,61,104,41,50,20,,31.6
6,THOU,7,5,-3,10,22,91,11,54,-5,,3,5.57
7,THREE,,-7,-4,,68,15,98,6,22,-6,,14.6
8,EYE,-3,13,19,-6,40,43,41,66,10,,44,16.71
9,DRINK,22,24,40,-6,35,51,38,49,13,43,22,24.12
10,NOT,46,6,55,25,-9,-9,4,10,-5,-7,30,17.62
11,ARM,,,,,28,52,36,42,35,,,31.5
12,THIS,45,41,37,-3,14,82,-12,80,-6,,17,20.71
13,MEAT,49,24,68,37,18,24,59,11,45,9,2,31.5
14,DIE,-11,2,-7,-10,101,96,88,79,75,1,,21.57
15,SEVEN,,,-1,,94,21,102,-1,94,,,62.33
16,BRANCH,,,,,46,23,76,25,32,,,39.0
17,WING,,50,48,,10,15,51,14,82,41,-3,38.0
18,HERE,,63,,,83,96,-13,103,45,,,63.67
19,TONGUE,-4,-10,-12,23,-4,21,8,24,65,18,-14,7.75
20,TEN,,,-13,,93,36,95,27,3,,,27.67
21,IRON,,,,,95,96,92,-13,97,,,96.0
22,YEAR,,52,5,,36,1,75,4,4,16,,22.6
23,HUNDRED,,,-9,,96,81,96,55,12,,,33.0
24,SEA,,40,75,,96,46,96,53,55,-10,,51.2
25,TWO,-25,-25,-25,-17,62,3,84,-10,-5,-17,,-7.43
26,PATH OR ROAD,,,,,,,,,,,,
27,LOUSE,,,,,,,,,,,,
28,FOUR,,-22,-28,,65,37,75,7,83,-22,,15.2
29,SALT,,-6,20,,34,70,56,-11,18,-18,29,12.83
30,SON,,,4,,46,8,37,79,12,,,20.67
31,COME,-3,18,19,-20,-23,2,-19,23,-20,,-20,-7.0
32,SIX,,,-29,,70,44,80,-15,24,,,21.67
33,YOU,,-4,-19,,73,88,-17,85,-8,-33,,1.8
34,HAND,-28,-18,-27,-16,5,15,50,-32,0,-9,-18,-13.88
35,WE,-5,-30,-21,-9,-22,-26,-33,66,-21,15,,-13.29
36,NAME,-26,-28,-22,-24,-18,-7,4,6,-6,-27,-23,-21.75
37,DIG,,55,12,,49,68,27,60,36,-5,,29.4
38,LEG,,53,,,-16,-32,44,-27,-10,,,9.0
