Concepticon_Gloss,Weight,Rank
MOTHER,0.7435885838969662,1.0
FATHER,0.7450480973214124,2.0
I,0.7529680971328654,3.0
AND,0.7595599890001923,4.0
THOU,0.7661274807331514,5.0
FIVE,0.7690789943518421,6.0
THREE,0.7699828049181203,7.0
HORSE,0.7733881467952946,8.0
DRINK,0.7755763032646603,9.0
TONGUE,0.7804681735083718,10.0
SEVEN,0.7812464628895593,11.0
THIS,0.7817929853640342,12.0
NOT,0.7834214853270558,13.0
MEAT,0.7836193023734921,14.0
EYE,0.7837503810450991,15.0
ARM,0.7838383340070895,16.0
DIE,0.7858084317277713,17.0
HERE,0.7868181300350309,18.0
WING,0.7874701048232513,19.0
SALT,0.7876402554649897,20.0
TEN,0.787884614584589,21.0
LOUSE,0.788412215954652,22.0
HUNDRED,0.7886236212457163,23.0
BRANCH,0.7887987124066056,24.0
YOU,0.7889729787956471,25.0
SEA,0.7890840200480501,26.0
SIX,0.7895460935667021,27.0
IRON,0.7904627942598678,28.0
YEAR,0.7907336679439014,29.0
NAME,0.7912187159051429,30.0
DIG,0.7913867116387083,31.0
WE,0.7915082669197636,32.0
TWO,0.7916629810767081,33.0
LEG,0.7917899247248155,34.0
SEW,0.791944571281736,35.0
TREE,0.7921737524731606,36.0
FOUR,0.7925060893099569,37.0
EAT,0.7928139966407965,38.0
PATH OR ROAD,0.7931851436943991,39.0
WHERE,0.7932220372110115,40.0
WHO,0.7932297012052251,41.0
COME,0.7936963344792114,42.0
BUY,0.7942859486593093,43.0
EAR,0.7944182130078504,44.0
FIRE,0.7948428577984414,45.0
HAND,0.7949327881782956,46.0
SON,0.7951285617549639,47.0
SKIN,0.7952963820778297,48.0
WATER,0.7952996581828192,49.0
HOUSE,0.7953567285519465,50.0
WASH,0.7956396824984642,51.0
THEY,0.7960338178207867,52.0
DOG,0.7964650582255237,53.0
LEAF,0.7967768617873863,54.0
FLY (MOVE THROUGH AIR),0.7968164639743686,55.0
THERE,0.7970495377383895,56.0
SKY,0.7971637855716274,57.0
LAKE,0.7974769201023959,58.0
FEATHER,0.7975113014084559,59.0
BONE,0.7975232193896674,60.0
TOOTH,0.797667310305705,61.0
FLOW,0.7980366363534944,62.0
THAT,0.7982781479922464,63.0
KNEE,0.7989882158386936,64.0
NOSE,0.7991294841503787,65.0
CRY,0.7991908970373517,66.0
GO,0.7994152285888699,67.0
WHAT,0.7995366344112663,68.0
STONE,0.7996966933855096,69.0
BOW,0.7997182111764709,70.0
SUN,0.7998716680765842,71.0
HEAD,0.7999401487233984,72.0
RAIN (PRECIPITATION),0.7999748807432179,73.0
ONE,0.800201502479384,74.0
BE ALIVE,0.8002351165412119,75.0
SAND,0.8002543170463052,76.0
FISH,0.8003476412720252,77.0
SMOKE (EXHAUST),0.8004463611176463,78.0
HORN (ANATOMY),0.8004728571204368,79.0
FULL,0.800509766988247,80.0
OPEN,0.8005729777167679,81.0
CLAW,0.8007015959173001,82.0
GIVE,0.8009758734365676,83.0
NEW,0.8013476417641286,84.0
KNOW (SOMETHING),0.8013535920596685,85.0
DAY (NOT NIGHT),0.8015138696103914,86.0
MOUNTAIN,0.8015828659985199,87.0
HAIR,0.8019785106264612,88.0
ASH,0.8022143896312236,89.0
SEE,0.8022182311547423,90.0
WHITE,0.8022545505988705,91.0
EARTH (SOIL),0.8022780967074035,92.0
KNIFE,0.8024703597606968,93.0
HEART,0.8026699105188599,94.0
BELLY,0.8027965057253821,95.0
BLOOD,0.8029379191031529,96.0
HEAR,0.8029575027492992,97.0
MOUTH,0.803037070010884,98.0
GRASS,0.8032562114320683,99.0
FOOT,0.8032607785799551,100.0
PULL,0.8034262571032079,101.0
LAUGH,0.803562548652107,102.0
FALL,0.8038684214541255,103.0
TAKE,0.803900857840572,104.0
NIGHT,0.8040867834067242,105.0
DRY,0.8043055071643358,106.0
CHEST,0.8043897149115948,107.0
EGG,0.8045434723436714,108.0
STAND,0.8045543563682221,109.0
MOON,0.8046234253838704,110.0
ARROW,0.8047126804505232,111.0
WIND,0.805175572085298,112.0
HOLD,0.8054760083113364,113.0
TIE,0.8060053041214791,114.0
ROOT,0.8063577767914654,115.0
RIVER,0.8070666268582605,116.0
BLACK,0.807162543568861,117.0
KILL,0.807472913598609,118.0
LONG,0.8078941092521736,119.0
SIT,0.8081076258621538,120.0
FINGER,0.8083507259417357,121.0
SAY,0.8086004092451238,122.0
SLEEP,0.809196868525617,123.0
COLD,0.8104245619078765,124.0
GOOD,0.8106428659114306,125.0
DO,inf,126.0
DEATH,inf,126.0
DRIVE (CATTLE),inf,126.0
NET,inf,126.0
NEST,inf,126.0
NEEDLE (FOR SEWING),inf,126.0
MAKE,inf,126.0
MELT,inf,126.0
MIDDLE,inf,126.0
MILK,inf,126.0
MONTH,inf,126.0
MEASURE,inf,126.0
LAY (VERB),inf,126.0
LIFE,inf,126.0
LANGUAGE,inf,126.0
LEATHER,inf,126.0
LICK,inf,126.0
HOME,inf,126.0
ICE,inf,126.0
HALF,inf,126.0
GROW,inf,126.0
GRAIN,inf,126.0
HE,inf,126.0
FOOTPRINT,inf,126.0
FOAM,inf,126.0
FRINGE,inf,126.0
GET,inf,126.0
HAY,inf,126.0
HONEY,inf,126.0
DRAW MILK,inf,126.0
DREAM,inf,126.0
DOOR,inf,126.0
DRY UP,inf,126.0
END (OF SPACE),inf,126.0
FINGERNAIL OR TOENAIL,inf,126.0
CUT,inf,126.0
COW,inf,126.0
COVER,inf,126.0
DRIVE,inf,126.0
BURNING,inf,126.0
BUTTER,inf,126.0
CARRY,inf,126.0
BRIDGE,inf,126.0
BRING,inf,126.0
BITTER,inf,126.0
BARKING,inf,126.0
BE ABLE,inf,126.0
BECOME,inf,126.0
BOIL (OF LIQUID),inf,126.0
BOIL (SOMETHING),inf,126.0
CATCH,inf,126.0
DAUGHTER,inf,126.0
DENSE,inf,126.0
DIVIDE,inf,126.0
SIT DOWN,inf,126.0
RAW,inf,126.0
SIDE,inf,126.0
SELL,inf,126.0
READ,inf,126.0
OR,inf,126.0
OIL (ORGANIC SUBSTANCE),inf,126.0
OAR,inf,126.0
PAIN,inf,126.0
PAY,inf,126.0
PART,inf,126.0
PRICE,inf,126.0
PLACE (POSITION),inf,126.0
TIME,inf,126.0
TONE (MUSIC),inf,126.0
THING,inf,126.0
THREAD,inf,126.0
THAW (DEW),inf,126.0
SPOIL (BECOME SPOILED),inf,126.0
STRIKE (SOMETHING),inf,126.0
SUMMER,inf,126.0
SOUND OR NOISE,inf,126.0
SNOW,inf,126.0
SLEEP (STATE),inf,126.0
VOICE,inf,126.0
WOOD,inf,126.0
WOOL,inf,126.0
WAIT (FOR),inf,126.0
WINTER,inf,126.0
WRITE,inf,126.0
WORD,inf,126.0
