Concept,Holman ranking value,Pagel mean rate,Peust ranking,Rama & Borin score,Tadmor score (replica),WOLD age score,WOLD borrowed score,WOLD simplicity score,inf,Petroni & Serva,Tadmor score,mean_disagreement
mother,,60.0,49.0,,85.0,50.0,100.0,48.0,21.0,2.0,,51.88
father,,55.0,33.0,,104.0,76.0,109.0,33.0,26.0,25.0,,57.62
i,2.0,2.0,1.0,2.0,6.0,41.0,8.0,54.0,1.0,,10.0,12.7
and,,79.0,,,65.0,60.0,95.0,0.0,3.0,,,50.33
thou,9.0,7.0,1.0,12.0,24.0,93.0,13.0,56.0,3.0,,5.0,22.3
five,,5.0,5.0,,95.0,60.0,103.0,40.0,49.0,19.0,,47.0
three,,6.0,3.0,,69.0,16.0,99.0,7.0,23.0,5.0,,28.5
horse,,,,,114.0,60.0,114.0,3.0,61.0,,,70.4
drink,23.0,25.0,41.0,5.0,36.0,52.0,39.0,50.0,14.0,44.0,23.0,32.0
tongue,6.0,0.0,2.0,33.0,6.0,31.0,18.0,34.0,75.0,28.0,4.0,21.55
seven,,,4.0,,99.0,26.0,107.0,4.0,99.0,,,56.5
this,46.0,42.0,38.0,2.0,15.0,83.0,11.0,81.0,5.0,,18.0,34.1
not,44.0,4.0,53.0,23.0,11.0,11.0,2.0,8.0,7.0,9.0,28.0,18.18
meat,49.0,24.0,68.0,37.0,18.0,24.0,59.0,11.0,45.0,9.0,2.0,31.45
eye,9.0,7.0,13.0,12.0,34.0,37.0,35.0,60.0,4.0,,38.0,24.9
arm,,,,,23.0,47.0,31.0,37.0,30.0,,,33.6
die,13.0,0.0,9.0,12.0,99.0,94.0,86.0,77.0,73.0,1.0,,46.4
here,,64.0,,,84.0,97.0,12.0,104.0,46.0,,,67.83
wing,,49.0,47.0,,9.0,14.0,50.0,13.0,81.0,40.0,4.0,34.11
salt,,4.0,30.0,,44.0,80.0,66.0,1.0,28.0,8.0,39.0,33.33
ten,,,13.0,,93.0,36.0,95.0,27.0,3.0,,,44.5
louse,,,,,,,,,,,,
hundred,,,8.0,,97.0,82.0,97.0,56.0,13.0,,,58.83
branch,,,,,39.0,16.0,69.0,18.0,25.0,,,33.4
you,,5.0,10.0,,82.0,97.0,8.0,94.0,1.0,24.0,,40.12
sea,,39.0,74.0,,95.0,45.0,95.0,52.0,54.0,11.0,,58.12
six,,,23.0,,76.0,50.0,86.0,9.0,30.0,,,45.67
iron,,,,,89.0,90.0,86.0,19.0,91.0,,,75.0
year,,46.0,1.0,,30.0,5.0,69.0,2.0,2.0,10.0,,20.62
name,19.0,21.0,15.0,17.0,11.0,0.0,11.0,13.0,1.0,20.0,16.0,13.09
dig,,62.0,19.0,,56.0,75.0,34.0,67.0,43.0,2.0,,44.75
we,1.0,26.0,17.0,5.0,18.0,22.0,29.0,70.0,17.0,19.0,,22.4
two,32.0,32.0,32.0,24.0,55.0,4.0,77.0,17.0,12.0,24.0,,30.9
leg,,58.0,,,11.0,27.0,49.0,22.0,5.0,,,28.67
sew,,6.0,47.0,,36.0,37.0,26.0,60.0,31.0,6.0,,31.12
tree,27.0,51.0,46.0,34.0,82.0,85.0,76.0,9.0,9.0,,,46.56
four,,30.0,36.0,,57.0,29.0,67.0,1.0,75.0,30.0,,40.62
eat,13.0,6.0,23.0,24.0,17.0,25.0,4.0,27.0,0.0,,12.0,15.1
pathorroad,,,,,,,,,,,,
