tree_type,size_bin,mean,sd,n_families
nj,all,0.2394163209876543,0.27398263241521476,81
upgma,all,0.23515681481481482,0.2622814853495244,81
nj,4-10,0.27642080952380954,0.35451477382529756,42
nj,11-20,0.2627450588235294,0.16187960636051046,17
nj,21-50,0.1730420769230769,0.11186058122313207,13
nj,51+,0.11853722222222222,0.05855940302329287,9
upgma,4-10,0.23706059523809525,0.3391115401736275,42
upgma,11-20,0.26885264705882356,0.1667262357005269,17
upgma,21-50,0.23645184615384615,0.1377509860357003,13
upgma,51+,0.16075422222222222,0.07640369336586054,9
