tree,family,n,f1,repair
inferred_tree_cosine_dist_nj,"Atlantic-Congo",642,0.956245,55
inferred_tree_cosine_dist_nj,"Austronesian",555,0.997290,3
inferred_tree_cosine_dist_nj,"Sino-Tibetan",253,0.933333,36
inferred_tree_cosine_dist_nj,"Nuclear Trans New Guinea",248,0.552047,383
inferred_tree_cosine_dist_nj,"Indo-European",151,0.996678,1
inferred_tree_cosine_dist_nj,"Afro-Asiatic",121,0.854093,41
inferred_tree_cosine_dist_nj,"Austroasiatic",102,1.000000,0
inferred_tree_cosine_dist_nj,"Pama-Nyungan",57,0.862385,15
inferred_tree_cosine_dist_nj,"Otomanguean",54,0.910891,9
inferred_tree_cosine_dist_nj,"Tupian",50,1.000000,0
inferred_tree_cosine_dist_nj,"Nuclear Torricelli",49,0.819277,15
inferred_tree_cosine_dist_nj,"Arawakan",35,0.925373,5
inferred_tree_cosine_dist_nj,"Mande",35,1.000000,0
inferred_tree_cosine_dist_nj,"Mayan",30,1.000000,0
inferred_tree_cosine_dist_nj,"Sepik",28,0.735294,18
inferred_tree_cosine_dist_nj,"Turkic",28,1.000000,0
inferred_tree_cosine_dist_nj,"Uto-Aztecan",26,1.000000,0
inferred_tree_cosine_dist_nj,"Uralic",26,1.000000,0
inferred_tree_cosine_dist_nj,"Dravidian",25,1.000000,0
inferred_tree_cosine_dist_nj,"Hmong-Mien",25,1.000000,0
inferred_tree_cosine_dist_nj,"Ramu",21,0.975610,1
inferred_tree_cosine_dist_nj,"Quechuan",21,1.000000,0
inferred_tree_cosine_dist_nj,"Timor-Alor-Pantar",19,1.000000,0
inferred_tree_cosine_dist_nj,"Central Sudanic",19,0.974359,1
inferred_tree_cosine_dist_nj,"Dogon",18,1.000000,0
inferred_tree_cosine_dist_nj,"Tucanoan",18,1.000000,0
inferred_tree_cosine_dist_nj,"Lakes Plain",17,0.969697,1
inferred_tree_cosine_dist_nj,"Pano-Tacanan",17,0.944444,2
inferred_tree_cosine_dist_nj,"Cariban",16,0.969697,1
